Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel,stadsdelsomrade
"Preem - Stockholm,Islandstorget",fuel,Bensinmack,Bergslagsvägen,,59.3463943,17.8938708,Södra Ängby,Bromma
Nockeby Pizzeria,restaurant,Restaurang & Snabbmat,Skaldevägen,,59.3294442,17.928936,Nockeby,Bromma
al Caminetto,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,,59.3328927,17.9774152,Alvik,Bromma
ICA Nära Abrahamsberg,supermarket,Matbutik,Abrahamsbergsvägen,8,59.3361456,17.9518695,Bromma,Bromma
Sorbon,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3399236,17.9405182,Bromma,Bromma
ICA Supermarket Alviks Torg,supermarket,Matbutik,Drottningholmsvägen,,59.3327076,17.9829618,Traneberg,Bromma
ICA Supermarket,supermarket,Matbutik,Tunnlandet,,59.3380314,17.9383011,Åkeslund,Bromma
ICA HM:s Livs,supermarket,Matbutik,Bergviksvägen,,59.3232066,17.9567889,Ålsten,Bromma
Coop Engströms Livs,supermarket,Matbutik,Nockeby Torg,,59.3288554,17.9286351,Bromma,Bromma
Apotek Hjärtat,pharmacy,Apotek,Nockeby Torg,2-4,59.3290947,17.9287271,Bromma,Bromma
Nockeby bageri,cafe,Kafé,Nockeby Torg,,59.3289102,17.9279354,Nockeby,Bromma
ICA Nära Smelivs,supermarket,Matbutik,Sunnerdahlsplan,,59.3209746,17.9724739,Smedslätten,Bromma
Park Konditori,cafe,Kafé,Västerled,4,59.3290661,17.9733633,Äppelviken,Bromma
McDonald's,fast_food,Restaurang & Snabbmat,Tunnlandet,,59.3386853,17.938783,Bromma,Bromma
Caffè Nero,cafe,Kafé,Gustavslundsvägen,,59.332752,17.9816507,Alvik,Bromma
Vedugnen i Alvik,restaurant,Restaurang & Snabbmat,Ryggåsgatan,,59.3321012,17.9744164,Alvik,Bromma
Ålstens Pizzeria,fast_food,Restaurang & Snabbmat,Ålstensgatan,,59.3226193,17.9564095,Ålsten,Bromma
Gateau,cafe,Kafé,Ålstensgatan,26,59.3223291,17.9556424,Ålsten,Bromma
Apoteket,pharmacy,Apotek,Vidängsvägen,,59.3350061,17.9780238,Alvik,Bromma
Kullens,restaurant,Restaurang & Snabbmat,Vidängsvägen,,59.335329,17.9795122,Traneberg,Bromma
Stammisstället,restaurant,Restaurang & Snabbmat,Ängby torg,4,59.3473014,17.9079113,Norra Ängby,Bromma
Björklunds hage,playground,Lekplats,Runforskarvägen,,59.3484479,17.9014054,Norra Ängby,Bromma
East Ocean,restaurant,Restaurang & Snabbmat,Tunnlandet,,59.3391073,17.9388025,Bromma,Bromma
Resturang Bryggan,restaurant,Restaurang & Snabbmat,Lusthusbacken,,59.317994,17.9447759,Ålsten,Bromma
La Rustica,cafe,Kafé,Långskeppsgatan,3,59.3513794,17.9000021,Beckomberga,Bromma
Torghörnan,cafe,Kafé,Ängby torg,3,59.3468849,17.9085116,Norra Ängby,Bromma
Kronans Apotek,pharmacy,Apotek,Ulvsundavägen,185-187,59.3565847,17.9519799,Mariehäll,Bromma
Shiva,restaurant,Restaurang & Snabbmat,Dalgången,13,59.3311297,17.9112186,Nockebyhov,Bromma
Brommaplans Bibliotek,library,Bibliotek,Klädesvägen,,59.3387884,17.9401533,Bromma,Bromma
Sushi Bar Kirin,restaurant,Restaurang & Snabbmat,Knypplerskevägen,,59.3392166,17.9378171,Bromma,Bromma
Bromma Thai,restaurant,Restaurang & Snabbmat,Rånövägen,5,59.3333107,17.9244454,Nockeby,Bromma
Sofie's,fast_food,Restaurang & Snabbmat,Hemslöjdsvägen,,59.3379176,17.953079,Ulvsunda,Bromma
Brommaplans Grillen,fast_food,Restaurang & Snabbmat,Kvarnbacksvägen,,59.3423027,17.9501741,Bromma,Bromma
Gateau,cafe,Kafé,Färjestadsvägen,6,59.3418988,17.905965,Norra Ängby,Bromma
Ängby Sushi & Thai,restaurant,Restaurang & Snabbmat,Färjestadsvägen,,59.341486,17.9055784,Norra Ängby,Bromma
Oh! Delhi,restaurant,Restaurang & Snabbmat,Kvarnbacksvägen,133,59.3401238,17.9409471,Bromma,Bromma
Bromma Pizzeria,restaurant,Restaurang & Snabbmat,Klädesvägen,,59.3387354,17.9407566,Bromma,Bromma
Appetito,restaurant,Restaurang & Snabbmat,Västerled,183,59.3288385,17.938666,Olovslund,Bromma
Brasserie Maison,restaurant,Restaurang & Snabbmat,Rörläggarvägen,,59.3308229,17.9466098,Abrahamsberg,Bromma
Coop Brommaplan,supermarket,Matbutik,Klädesvägen,12,59.3385721,17.9394968,Bromma,Bromma
Apoteket,pharmacy,Apotek,Klädesvägen,,59.3388684,17.9396897,Bromma,Bromma
Pizzeria La Bella,restaurant,Restaurang & Snabbmat,Gustav III:s Väg,,59.3339835,17.9477962,Abrahamsberg,Bromma
Tropical Wok & Sushi,restaurant,Restaurang & Snabbmat,Gustav III:s Väg,,59.3340656,17.9480429,Abrahamsberg,Bromma
Kanazawa Sushi Bar,restaurant,Restaurang & Snabbmat,Ulvsundavägen,,59.3350797,17.9690771,Ulvsunda,Bromma
Drottningholms Pizzeria,restaurant,Restaurang & Snabbmat,Rånövägen,,59.3333467,17.924382,Nockeby,Bromma
Pizzeria Tranan,restaurant,Restaurang & Snabbmat,Tranebergsvägen,,59.3355624,17.978447,Traneberg,Bromma
