Region,Tid,"Medelinkomst, tkr","Medianinkomst, tkr",Kommun
0114,2024,402.2,369.9,Upplands Väsby
0115,2024,465.0,420.7,Vallentuna
0117,2024,473.2,412.2,Österåker
0120,2024,473.3,418.3,Värmdö
0123,2024,407.8,375.1,Järfälla
0125,2024,544.9,440.9,Ekerö
0126,2024,426.8,386.4,Huddinge
0127,2024,352.7,331.8,Botkyrka
0128,2024,437.7,404.0,Salem
0136,2024,389.7,369.4,Haninge
0138,2024,464.0,411.0,Tyresö
0139,2024,396.7,370.6,Upplands-Bro
0140,2024,459.7,431.9,Nykvarn
0160,2024,570.8,469.3,Täby
0162,2024,762.2,510.3,Danderyd
0163,2024,510.8,427.0,Sollentuna
0180,2024,485.9,413.6,Stockholm
0181,2024,354.4,336.1,Södertälje
0182,2024,557.2,454.2,Nacka
0183,2024,451.0,420.4,Sundbyberg
0184,2024,480.5,444.7,Solna
0186,2024,642.2,454.9,Lidingö
0187,2024,535.7,434.3,Vaxholm
0188,2024,369.7,335.4,Norrtälje
0191,2024,386.5,354.6,Sigtuna
0192,2024,378.0,348.5,Nynäshamn
0305,2024,426.3,395.2,Håbo
0319,2024,359.0,333.9,Älvkarleby
0330,2024,461.1,421.6,Knivsta
0331,2024,341.0,317.4,Heby
0360,2024,341.7,321.6,Tierp
0380,2024,384.7,355.8,Uppsala
0381,2024,387.3,355.9,Enköping
0382,2024,375.2,345.6,Östhammar
0428,2024,335.4,311.6,Vingåker
0461,2024,377.5,342.1,Gnesta
0480,2024,373.9,345.4,Nyköping
0481,2024,361.9,339.1,Oxelösund
0482,2024,331.4,299.6,Flen
0483,2024,344.2,321.0,Katrineholm
0484,2024,351.2,328.4,Eskilstuna
0486,2024,409.4,367.1,Strängnäs
0488,2024,424.7,383.1,Trosa
0509,2024,346.5,325.7,Ödeshög
0512,2024,347.2,328.9,Ydre
0513,2024,364.5,341.2,Kinda
0560,2024,355.4,343.7,Boxholm
0561,2024,355.7,332.5,Åtvidaberg
0562,2024,365.6,339.7,Finspång
0563,2024,329.8,305.3,Valdemarsvik
0580,2024,386.0,357.2,Linköping
0581,2024,369.4,344.6,Norrköping
0582,2024,382.2,354.1,Söderköping
0583,2024,356.2,333.6,Motala
0584,2024,372.0,333.6,Vadstena
0586,2024,372.7,357.2,Mjölby
0604,2024,359.7,345.6,Aneby
0617,2024,369.1,355.0,Gnosjö
0642,2024,358.3,347.4,Mullsjö
0643,2024,406.9,385.5,Habo
0662,2024,363.2,351.0,Gislaved
0665,2024,373.6,362.4,Vaggeryd
0680,2024,378.8,359.9,Jönköping
0682,2024,349.4,337.2,Nässjö
0683,2024,384.1,363.1,Värnamo
0684,2024,333.0,321.7,Sävsjö
0685,2024,351.5,334.5,Vetlanda
0686,2024,362.3,337.6,Eksjö
0687,2024,351.5,334.8,Tranås
0760,2024,334.1,325.3,Uppvidinge
0761,2024,326.4,308.9,Lessebo
0763,2024,330.2,311.3,Tingsryd
0764,2024,346.2,331.8,Alvesta
0765,2024,397.2,359.4,Älmhult
0767,2024,338.9,322.8,Markaryd
0780,2024,371.7,349.9,Växjö
0781,2024,359.6,342.5,Ljungby
0821,2024,301.0,279.4,Högsby
0834,2024,331.8,311.0,Torsås
0840,2024,377.6,350.6,Mörbylånga
0860,2024,321.6,303.7,Hultsfred
0861,2024,355.1,335.3,Mönsterås
0862,2024,336.9,313.0,Emmaboda
0880,2024,371.1,349.2,Kalmar
0881,2024,328.9,314.1,Nybro
0882,2024,375.2,357.4,Oskarshamn
0883,2024,351.2,322.4,Västervik
0884,2024,352.9,339.5,Vimmerby
0885,2024,339.6,302.2,Borgholm
